ObjId,range,speed,angle,snr,Kstate,OboCarSpeed,heigh,heighAngle,X,Y,EstimateCarSpeed,EstimateMagCarSpeed,RCS,WheelSpdFl,WheelSpdFR,WheelSpdRL,WheelSpdRR,YawRate,frameIntervalTimeZ4,SelfCalcAngle,SenceFlag,SortFlag,trkReiablility,RadiusCurvature,Xaccel,Yaccel,noise,using,DbfMag,FrameIntervalTime,installAngleOffset,VehLatAcc,VehLongAcc,matchFlag,tag,deltaRange,clusterID,idx,objLen,weight,MeasCounter,MAtr,SteeringAngle,SteeringAngleSpd,EstCarSpeed,Gear,isDmlMode,waveType,sideSlobe0,sideSlobe1,sideSlobe2,peakNum1,peakNum2,AlgTeam,ObstacleProb,scene,errorCode
START,FrameNb:0,CameraNb:0,HeSaiNb:0,ARS410Nb:0
2025/11/20 11:33:31:761---->
heightOffset:0,1763609611761,0,selfCaliBufCnt:0,selfAccObjCnt:0,selfAccAngle:0,installHAngleOffset:0,Interpolation:0,installVAngleOffset:0,radarOffsetH:0,radarOffsetV:0,Polynom:0;0;0;0;0;0;0;0;0;0;0;0,WheelDirection:0;0;0;0,selfAngleOffset:0,selfAngleOffsetPit:0,selfCaliAngleHrz_H:0,selfCaliAnglePit_H:0
0,7.24,-17.1,-21.8,21.6,0,18.549,0,-1,1.23258e-32,0,0,0,-18,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,70,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,7.78,-17.32,-20.6,17.9,0,18.549,0,5,0,0,0,0,-22,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,66,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,7.38,-16.88,-23.5,21.7,0,18.549,0,0,0,0,0,0,-17,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,69,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,8.3,-17.46,-19.1,22.9,0,18.549,0,-2,0,0,0,0,-18,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,70,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,8.12,-15.2,-33.7,16.7,0,18.549,0,5,0,0,0,0,-17,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,64,123,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,8.42,-17.24,-20.9,21.7,0,18.549,0,0,0,0,0,0,-18,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,69,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,8.94,-17.66,-17.8,25.5,0,18.549,0,1,0,0,0,0,-16,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,73,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,9.4,-17.58,-18.3,17.6,0,18.549,0,-1,0,0,0,0,-22,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,65,123,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,10.38,-17.88,-15.9,20.8,0,18.549,0,3,0,0,0,0,-22,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,68,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,9.9,-17.38,-19,18.3,0,18.549,0,0,0,0,0,0,-20,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,65,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,10.96,-17.92,-14.1,26.5,0,18.549,0,-3,0,0,0,0,-15,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,73,123,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,11.96,-18.08,-12.6,26.9,0,18.549,0,2,0,0,0,0,-14,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,73,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,11.52,-17.88,-15,25.5,0,18.549,0,4,0,0,0,0,-16,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,72,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,12.46,-17.82,-14.2,26.5,0,18.549,0,5,0,0,0,0,-17,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,73,123,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,12.38,-17.62,-16.8,23.4,0,18.549,0,8,0,0,0,0,-15,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,69,123,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,12.48,-18.04,-12.9,28.2,0,18.549,0,1,0,0,0,0,-13,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,74,123,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,13.52,-18.14,-11.4,27,0,18.549,0,1,0,0,0,0,-15,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,72,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,13.2,-17.46,-18.2,20.6,0,18.549,0,5,0,0,0,0,-19,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,65,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,13.6,-18.06,-11.2,21.5,0,18.549,0,1,0,0,0,0,-19,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,67,123,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,14.1,-17.9,-14.6,22.1,0,18.549,0,3,0,0,0,0,-20,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,67,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,14.18,-18.2,-11.9,24.6,0,18.549,0,0,0,0,0,0,-16,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,70,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,16.24,-18.3,-9.7,25,0,18.549,0,-1,0,0,0,0,-16,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,71,123,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,17.72,-18.28,-9,29.2,0,18.549,0,-4,0,0,0,0,-12,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,74,123,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,18.86,-18.22,-8.5,22.4,0,18.549,0,6,0,0,0,0,-13,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,67,123,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,19.36,-18.34,-8.1,27.5,0,18.549,0,-2,0,0,0,0,-18,0,0,0,0,0.00366211,0,0,0,0,0,0,0,0,0,0,72,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
